stack=a5n_s0_ch1;stackdb=a5n_s0_db2;saveTime=3531199714.238000;version=20151102_v1;numHeaderRow=1;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs
,0,0,NaN,0,184,185,10,5,.1,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,
NaN,NaN,14.895000,26.820000,7.000000,7.000000,NaN,NaN,107.000000,0.000000,NaN,NaN,NaN,NaN,5.809294,5.809294,NaN,NaN,NaN,
NaN,NaN,14.850000,26.775000,7.000000,7.000000,NaN,NaN,108.000000,0.000000,NaN,NaN,NaN,NaN,5.872933,5.872933,NaN,NaN,NaN,
NaN,NaN,14.805000,26.730000,7.000000,7.000000,NaN,NaN,109.000000,0.000000,NaN,NaN,NaN,NaN,5.936573,5.936573,NaN,NaN,NaN,
NaN,NaN,14.805000,26.730000,7.000000,7.000000,NaN,NaN,110.000000,0.000000,NaN,NaN,NaN,NaN,5.936573,5.936573,NaN,NaN,NaN,
NaN,NaN,14.760000,26.684999,6.000000,6.000000,NaN,NaN,111.000000,0.000000,NaN,NaN,NaN,NaN,6.000213,6.000213,NaN,NaN,NaN,
NaN,NaN,14.715000,26.639999,6.000000,6.000000,NaN,NaN,112.000000,0.000000,NaN,NaN,NaN,NaN,6.063852,6.063852,NaN,NaN,NaN,
NaN,NaN,14.670000,26.594999,6.000000,6.000000,NaN,NaN,113.000000,0.000000,NaN,NaN,NaN,NaN,6.127492,6.127492,NaN,NaN,NaN,
NaN,NaN,14.625000,26.549999,6.000000,6.000000,NaN,NaN,114.000000,0.000000,NaN,NaN,NaN,NaN,6.191132,6.191132,NaN,NaN,NaN,
NaN,NaN,14.580000,26.504999,7.000000,7.000000,NaN,NaN,115.000000,0.000000,NaN,NaN,NaN,NaN,6.254772,6.254772,NaN,NaN,NaN,
NaN,NaN,14.535000,26.459999,7.000000,7.000000,NaN,NaN,116.000000,0.000000,NaN,NaN,NaN,NaN,6.318411,6.318411,NaN,NaN,NaN,
NaN,NaN,14.490000,26.415001,7.000000,7.000000,NaN,NaN,117.000000,0.000000,NaN,NaN,NaN,NaN,6.382050,6.382050,NaN,NaN,NaN,
NaN,NaN,14.490000,26.370001,7.000000,7.000000,NaN,NaN,118.000000,0.000000,NaN,NaN,NaN,NaN,6.427050,6.427050,NaN,NaN,NaN,
NaN,NaN,14.445000,26.325001,7.000000,7.000000,NaN,NaN,119.000000,0.000000,NaN,NaN,NaN,NaN,6.490690,6.490690,NaN,NaN,NaN,
NaN,NaN,14.400000,26.280001,7.000000,7.000000,NaN,NaN,120.000000,0.000000,NaN,NaN,NaN,NaN,6.554329,6.554329,NaN,NaN,NaN,
NaN,NaN,14.400000,26.235001,7.000000,7.000000,NaN,NaN,121.000000,0.000000,NaN,NaN,NaN,NaN,6.599329,6.599329,NaN,NaN,NaN,
NaN,NaN,14.355000,26.190001,7.000000,7.000000,NaN,NaN,122.000000,0.000000,NaN,NaN,NaN,NaN,6.662969,6.662969,NaN,NaN,NaN,
NaN,NaN,14.355000,26.145000,7.000000,7.000000,NaN,NaN,123.000000,0.000000,NaN,NaN,NaN,NaN,6.707969,6.707969,NaN,NaN,NaN,
NaN,NaN,14.310000,26.100000,7.000000,7.000000,NaN,NaN,124.000000,0.000000,NaN,NaN,NaN,NaN,6.771608,6.771608,NaN,NaN,NaN,
NaN,NaN,14.310000,26.055000,7.000000,7.000000,NaN,NaN,125.000000,0.000000,NaN,NaN,NaN,NaN,6.816608,6.816608,NaN,NaN,NaN,
NaN,NaN,14.265000,26.010000,7.000000,7.000000,NaN,NaN,126.000000,0.000000,NaN,NaN,NaN,NaN,6.880248,6.880248,NaN,NaN,NaN,
NaN,NaN,14.265000,25.965000,7.000000,7.000000,NaN,NaN,127.000000,0.000000,NaN,NaN,NaN,NaN,6.925248,6.925248,NaN,NaN,NaN,
NaN,NaN,14.220000,25.920000,7.000000,7.000000,NaN,NaN,128.000000,0.000000,NaN,NaN,NaN,NaN,6.988888,6.988888,NaN,NaN,NaN,
NaN,NaN,14.175000,25.875000,7.000000,7.000000,NaN,NaN,129.000000,0.000000,NaN,NaN,NaN,NaN,7.052527,7.052527,NaN,NaN,NaN,
NaN,NaN,14.175000,25.830000,7.000000,7.000000,NaN,NaN,130.000000,0.000000,NaN,NaN,NaN,NaN,7.097528,7.097528,NaN,NaN,NaN,
